elementId,publicTitle,assignedPrimaryRenderer,firstVisibleAnalysis,secondaryVisualization,rawOrEntityListPosition,measureCount,measures,dimensionCount,dimensions,units,yearRange,selectors,interpretation,mapLinkage,runtimeReviewResult,runtimeVerified
A-028,해안·수자원 인프라,spatial-analysis,복수 측정항목 추세,지역 선택 상세와 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",8,수로 레이어 | 수로 레이어 | 수로 레이어 | 수로 레이어 | 자연지형지물 레이어 | 자연지형지물 레이어 | 자연지형지물 레이어 | 자연지형지물 레이어,4,분류 | 세부 분류 | 기술 | 연도,% | EPSG 코드 | 개 | 건,2026–2026,측정항목 | 분류 | 세부 분류,not-required,false,verified-in-production-dom,true
A-029,자유무역협정 체결 현황,policy-timeline,정책 타임라인,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",2,FTA 건수 | FTA 체결 현황 목록,5,분류 | 세부 분류 | 레코드 유형 | status | 연도,건,2026–2026,측정항목 | 분류 | 세부 분류 | status,not-required,false,verified-in-production-dom,true
A-030,한국과의 교역 규모,technology-comparison,범주 비교,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",1,한-베트남 교역,3,분류 | 세부 분류 | 연도,10억 USD,2021–2024,분류 | 세부 분류 | 연도,not-required,false,verified-in-production-dom,true
A-031,물류성과지수,score-trend,핵심 지표와 추세,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",1,물류성과지수(LPI),3,분류 | 세부 분류 | 연도,점,2007–2022,분류 | 세부 분류 | 연도,covered,false,verified-in-production-dom,true
A-032,중간재 교역 규모,technology-comparison,범주 비교,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",2,중간재 교역 | 중간재 교역 규모,3,분류 | 세부 분류 | 연도,% | 천 USD,1995–2023,측정항목 | 분류 | 세부 분류 | 연도,not-required,false,verified-in-production-dom,true
A-033,해운 연결성,score-trend,핵심 지표와 추세,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",1,해운 연결성 지수(LSCI),3,분류 | 세부 분류 | 연도,지수,2006–2026,분류 | 세부 분류 | 연도,covered,false,verified-in-production-dom,true
B-001,건기와 우기,seasonality,계절성,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",5,연 평년강수 | 연 평년기온 | 월 평년강수 | 월 평년기온 | 월별 건기/우기 구분(전국),2,세부 분류 | 연도,mm | ℃ | 구분,1991–1991,측정항목 | 세부 분류,not-required,false,verified-in-production-dom,true
B-002,기후대,spatial-analysis,복수 측정항목 추세,지역 선택 상세와 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",4,국가 우세 기후대 | 기후대별 점유 면적 | 기후대별 점유 비율 | 열대기후(A군) 국토 점유 비율,4,세부 분류 | detail_2 | detail_3 | 연도,구분 | km² | %,1930–2099,측정항목 | 세부 분류 | detail_2 | detail_3 | 연도,covered,false,verified-in-production-dom,true
B-003,평균 기온과 강수량,multi-metric-trend,복수 측정항목 추세,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",4,연강수량(관측) | 연평균 최고기온(관측) | 연평균 최저기온(관측) | 연평균기온(관측),1,연도,mm | ℃,1901–2024,측정항목 | 연도,not-required,false,verified-in-production-dom,true
B-004,과거·미래 기후전망(CMIP6),scenario-comparison,복수 측정항목 추세,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",7,상대습도(hurs) | 연강수(pr) | 일사량(rsds 대체 | 최고기온(tasmax) | 최저기온(tasmin) | 평균기온(tas) | 풍속(sfcWind 대체,3,세부 분류 | 기술 | 연도,% | mm | kWh/m²/day | ℃ | m/s,1950–2100,측정항목 | 세부 분류 | 기술 | 연도,not-required,false,verified-in-production-dom,true
B-005,가뭄 위험,technology-comparison,범주 비교,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",4,SPEI12 | 연속 건조일수 CDD | 토양수분(연평균) | 표준강수증발산지수 SPEI12,3,세부 분류 | 기술 | 연도,지수 | 일 | m³/m³,1950–2100,측정항목 | 세부 분류 | 연도,covered,false,verified-in-production-dom,true
B-006,폭염 위험,technology-comparison,범주 비교,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",7,열대야 TR20 | 열대야 TR23 | 열대야 TR26 | 열대야 TR29 | 체감폭염 HI35 | 폭염일수 TX35 | 폭염일수 TX40,3,분류 | 세부 분류 | 연도,일,1950–2100,측정항목 | 세부 분류 | 연도,covered,false,verified-in-production-dom,true
B-007,홍수·호우 위험,technology-comparison,범주 비교,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",5,연속 습윤일수 CWD | 최대 1일강수 RX1day | 최대 5일강수 RX5day | 호우일수 R20mm | 호우일수 R50mm,2,세부 분류 | 연도,일 | mm,1950–2100,측정항목 | 세부 분류 | 연도,not-required,false,verified-in-production-dom,true
