elementId,publicTitle,category,group,sourceWorkbookExists,packageStatus,dataPresenceStatus,publicStatus,observationRows,populatedObservationRows,missingObservationRows,entityRows,populatedEntityRows,publicPopulatedRows,displayAllowed,downloadAllowed,downloadableRecordCount,downloadRestrictionReason,visualizationRenderer,visualizationStatus,mapMode,mapFeatureCount,sourceOrganizations,sourceReferencePeriod,lastPopulatedYear,limitationCount,userFacingStatus,finalDisposition,acceptanceResult
A-025,탄소포집·저장 시설,A · 국가 기본 정보,A.3.a · 인프라 GIS 공간정보,true,provided,actual-records,actual,1,1,0,5,5,6,true,true,6,,spatial-summary,archetype,panel-only,0,STADT(공개 1차 출처 정리),2026,2026,0,데이터 제공,populated-and-released,PASS
A-026,건물 분포,A · 국가 기본 정보,A.3.a · 인프라 GIS 공간정보,true,provided,actual-records,actual,5,5,0,0,0,5,true,false,0,원자료 이용조건에 따라 화면 열람만 제공,spatial-summary,archetype,panel-only,0,OpenStreetMap contributors,2026,2026,0,데이터 제공,populated-and-released,PASS
A-027,육상교통 인프라,A · 국가 기본 정보,A.3.a · 인프라 GIS 공간정보,true,provided,actual-records,actual,35,35,0,0,0,35,true,false,0,원자료 이용조건에 따라 화면 열람만 제공,spatial-summary,archetype,panel-only,0,OpenStreetMap contributors,2026,2026,0,데이터 제공,populated-and-released,PASS
A-028,해안·수자원 인프라,A · 국가 기본 정보,A.3.a · 인프라 GIS 공간정보,true,provided,actual-records,actual,19,19,0,0,0,19,true,false,0,원자료 이용조건에 따라 화면 열람만 제공,spatial-summary,archetype,panel-only,0,OpenStreetMap contributors,2026,2026,0,데이터 제공,populated-and-released,PASS
A-029,자유무역협정 체결 현황,A · 국가 기본 정보,A.4.a · 한·개도국 교역액 및 FTA 체결 현황,true,provided,actual-records,actual,3,3,0,19,17,20,true,false,0,원자료 이용조건에 따라 화면 열람만 제공,policy-timeline,archetype,country-aggregate,0,"WTO and Integration Center, VCCI",2026,2026,0,데이터 제공,populated-and-released,PASS
A-030,한국과의 교역 규모,A · 국가 기본 정보,A.4.a · 한·개도국 교역액 및 FTA 체결 현황,true,provided,actual-records,actual,16,16,0,0,0,16,true,false,0,원자료 이용조건에 따라 화면 열람만 제공,category-comparison,archetype,country-aggregate,0,한국무역협회(Korea International Trade Association),2024,2024,0,데이터 제공,populated-and-released,PASS
A-031,물류성과지수,A · 국가 기본 정보,A.4.b · 공급망,true,provided,actual-records,actual,49,49,0,0,0,49,true,true,49,,score-benchmark,archetype,country-aggregate,0,World Bank,2022,2022,0,데이터 제공,populated-and-released,PASS
A-032,중간재 교역 규모,A · 국가 기본 정보,A.4.b · 공급망,true,provided,actual-records,actual,100,100,0,0,0,100,true,false,0,원자료 이용조건에 따라 화면 열람만 제공,category-comparison,archetype,country-aggregate,0,OECD | World Bank WITS (원자료: UN Comtrade),2020~2023,2023,0,데이터 제공,populated-and-released,PASS
A-033,해운 연결성,A · 국가 기본 정보,A.4.b · 공급망,true,provided,actual-records,actual,82,82,0,0,0,82,true,true,82,,score-benchmark,archetype,country-aggregate,0,United Nations Conference on Trade and Development (UNCTAD),2025~2026,2026,0,데이터 제공,populated-and-released,PASS
B-001,건기와 우기,B · 기후 환경,B.1.a · 기후 기초 정보,true,provided,actual-records,actual,38,38,0,0,0,38,true,true,38,,seasonality,archetype,country-aggregate,0,World Bank CCKP (CRU TS 4.09),1991,1991,0,데이터 제공,populated-and-released,PASS
B-002,기후대,B · 기후 환경,B.1.a · 기후 기초 정보,true,provided,actual-records,actual,19,19,0,0,0,19,true,true,19,,spatial-summary,archetype,panel-only,0,"Beck et al.(2023) — High-resolution (1 km) Köppen-Geiger maps for 1901–2099 (Scientific Data 10, 724)",1930~2099,2099,0,데이터 제공,populated-and-released,PASS
B-003,평균 기온과 강수량,B · 기후 환경,B.1.a · 기후 기초 정보,true,provided,actual-records,actual,496,496,0,0,0,496,true,true,496,,seasonality,archetype,country-aggregate,0,World Bank CCKP (CRU TS 4.09),2024,2024,0,데이터 제공,populated-and-released,PASS
B-004,과거·미래 기후전망(CMIP6),B · 기후 환경,B.1.b · 과거·미래 기후,true,provided,actual-records,actual,2047,2047,0,0,0,2047,true,true,2047,,scenario-range,archetype,panel-only,0,"Global Solar Atlas 2.0 (World Bank/ESMAP, Solargis) | Global Wind Atlas 3.x (DTU/World Bank ESMAP) | World Bank CCKP (CMIP6 x0.25)",2014~2100,2100,0,데이터 제공,populated-and-released,PASS
B-005,가뭄 위험,B · 기후 환경,B.1.c · 기후 영향 인자,true,provided,actual-records,actual,503,503,0,0,0,503,true,true,503,,category-comparison,archetype,panel-only,0,Copernicus ERA5-Land | World Bank CCKP (CMIP6 x0.25),2014~2100,2100,0,데이터 제공,populated-and-released,PASS
B-006,폭염 위험,B · 기후 환경,B.1.c · 기후 영향 인자,true,provided,actual-records,actual,1423,1422,1,0,0,1422,true,true,1423,,category-comparison,archetype,panel-only,0,World Bank CCKP (CMIP6 x0.25),2014~2100,2100,0,데이터 제공,populated-and-released,PASS
B-007,홍수·호우 위험,B · 기후 환경,B.1.c · 기후 영향 인자,true,provided,actual-records,actual,1185,1185,0,0,0,1185,true,true,1185,,category-comparison,archetype,panel-only,0,World Bank CCKP (CMIP6 x0.25),2014~2100,2100,0,데이터 제공,populated-and-released,PASS
B-008,해수면 상승 전망,B · 기후 환경,B.1.d · 해수면 상승 전망,true,provided,actual-records,actual,1800,1800,0,0,0,1800,true,true,1800,,scenario-range,archetype,panel-only,0,IPCC AR6 Sea Level Projection Tool (NASA/IPCC),2100,2100,0,데이터 제공,populated-and-released,PASS
B-009,생물다양성·기후 위험,B · 기후 환경,B.2.a · 물리적 리스크,true,provided,actual-records,actual,435,435,0,0,0,435,true,true,435,,score-benchmark,archetype,country-aggregate,0,University of Notre Dame ND-GAIN Country Index 2026 | WWF Biodiversity Risk Filter | WWF Biodiversity Risk Filter (RFS V3.0),2024~2026,2026,0,데이터 제공,populated-and-released,PASS
B-010,기후위험지수,B · 기후 환경,B.2.a · 물리적 리스크,true,provided,partial-records,partial,12,12,0,0,0,12,true,true,6,,score-benchmark,archetype,country-aggregate,0,Germanwatch Climate Risk Index 2026,2024,2024,0,일부 데이터 제공,partial-and-released,PASS
B-011,기후취약성지수,B · 기후 환경,B.2.a · 물리적 리스크,true,provided,actual-records,actual,1500,1500,0,0,0,1500,true,true,1500,,score-benchmark,archetype,country-aggregate,0,ND-GAIN Country Index 2026 | University of Notre Dame (ND-GAIN) | University of Notre Dame ND-GAIN Country Index 2026,2024,2024,0,데이터 제공,populated-and-released,PASS
B-012,재해·재난 이력,B · 기후 환경,B.2.a · 물리적 리스크,true,provided,partial-records,partial,97,97,0,166,166,263,true,true,1,,policy-timeline,archetype,panel-only,0,"EM-DAT Archive v2026-04-30 | EM-DAT Archive v2026-04-30 (CRED/UCLouvain) | GDIS (Geocoded Disasters, NASA SEDAC) / DesInventar Sendai / NOAA NCEI",2024,2024,0,일부 데이터 제공,partial-and-released,PASS
B-013,탄소국경조정제도 영향,B · 기후 환경,B.2.b · 전환 리스크,true,provided,actual-records,actual,35,33,2,0,0,33,true,true,35,,score-benchmark,archetype,country-aggregate,0,World Bank Relative CBAM Exposure Index | World Bank — EU CBAM Exposure Index,2022,2022,0,데이터 제공,populated-and-released,PASS
B-014,탄소세 도입 효과 전망,B · 기후 환경,B.2.b · 전환 리스크,true,provided,actual-records,actual,13,13,0,0,0,13,true,true,13,,scenario-range,archetype,country-aggregate,0,World Bank Vietnam CCDR (2022),2040,2040,0,데이터 제공,populated-and-released,PASS
B-015,탄소가격 수준,B · 기후 환경,B.2.b · 전환 리스크,true,provided,actual-records,actual,15,13,2,0,0,13,true,true,15,,policy-timeline,archetype,country-aggregate,0,World Bank Carbon Pricing Dashboard | World Bank Carbon Pricing Dashboard; 베트남 정부 Decree 29/2026/ND-CP | 베트남 정부 Decree 29/2026/ND-CP 및 할당계획 | 베트남 정부 할당계획(Decree 29/2026/ND-CP) | 하노이증권거래소(HNX) 국내 탄소거래소,2020~2026,2026,0,데이터 제공,populated-and-released,PASS
B-016,화석연료 의존도,B · 기후 환경,B.2.b · 전환 리스크,true,provided,actual-records,actual,45,35,10,0,0,35,true,true,45,,kpi-trend,archetype,country-aggregate,0,Energy Institute Statistical Review of World Energy | World Bank WDI (원자료 IEA),2024~2025,2024,0,데이터 제공,populated-and-released,PASS
B-017,물 스트레스,B · 기후 환경,B.3.a · 수자원 취약성,true,provided,actual-records,actual,1589,1589,0,0,0,1589,true,true,1589,,spatial-summary,archetype,country-aggregate,0,FAO AQUASTAT (SDG 6.4.2) | WRI Aqueduct 4.0 | WRI Aqueduct 4.0 (2023),2023~2080,2080,0,데이터 제공,populated-and-released,PASS
B-018,장기 국내총생산 전망,B · 기후 환경,B.3.b · SSP(공유 사회 경제 경로)기반 사회경제적 리스크,true,provided,actual-records,actual,282,282,0,0,0,282,true,true,282,,scenario-range,archetype,country-aggregate,0,IIASA SSP Database v3.1 | IIASA SSP Database v3.1 (IIASA GDP 2023) | IIASA SSP Database v3.1 (OECD ENV-Growth 2023),2020~2100,2100,0,데이터 제공,populated-and-released,PASS
B-019,장기 인구 전망,B · 기후 환경,B.3.b · SSP(공유 사회 경제 경로)기반 사회경제적 리스크,true,provided,actual-records,actual,110,110,0,0,0,110,true,true,110,,scenario-range,archetype,country-aggregate,0,IIASA SSP Database v3.1 (IIASA-WiC POP 2023),2020~2100,2100,0,데이터 제공,populated-and-released,PASS
B-020,복합 위험지수,B · 기후 환경,B.3.c · 기타 관련 지표,true,provided,actual-records,actual,2696,2695,1,0,0,2695,true,true,2696,,score-benchmark,archetype,country-aggregate,0,EU JRC INFORM Risk 2026 TREND | EU JRC INFORM Risk Index 2026 (v0.7.2) | European Commission JRC / UN OCHA — INFORM Risk 2026 | JRC INFORM Risk Index 2026 | JRC INFORM Risk Index — Trend 2017–2026,2017~2026,2026,0,데이터 제공,populated-and-released,PASS
B-021,취약성지수,B · 기후 환경,B.3.c · 기타 관련 지표,true,provided,actual-records,actual,2970,2969,1,0,0,2969,true,true,2970,,score-benchmark,archetype,region-choropleth,63,"Global Data Lab (GDL Area Database) | Global Data Lab GVI | Global Data Lab GVI (Huisman et al., 2025) | Global Data Lab — GVIP Database (Huisman et al., 2025)",2022~2100,2100,0,데이터 제공,populated-and-released,PASS
B-022,기후피해의 경제적 비용,B · 기후 환경,B.3.c · 기타 관련 지표,true,provided,actual-records,actual,11,11,0,0,0,11,true,true,11,,score-benchmark,archetype,country-aggregate,0,World Bank Vietnam CCDR (2022) | World Bank Vietnam CCDR 2022 | World Bank Vietnam Country Climate and Development Report (CCDR) 2022,2030~2050,2050,0,데이터 제공,populated-and-released,PASS
B-023,건기/우기 유량 차이,B · 기후 환경,B.4.a · 수문학,true,provided,actual-records,actual,11,10,1,0,0,10,true,true,11,,kpi-trend,archetype,panel-only,0,"GRDC / HydroBASINS / GloFAS | Le et al. (2014), HESS | MRC (2009) / Le et al. (2014) | MRC / VNMC | Mekong River Commission (2009) | Mekong River Commission (MRC) / VNMC",2004~2026,2010,0,데이터 제공,populated-and-released,PASS
B-024,농업 용수 비중,B · 기후 환경,B.4.a · 수문학,true,provided,actual-records,actual,205,204,1,0,0,204,true,true,205,,composition,archetype,country-aggregate,0,FAO AQUASTAT | 베트남 통계청(GSO) 관개면적·수확면적 통계,2023,2023,0,데이터 제공,populated-and-released,PASS
B-025,유역 면적,B · 기후 환경,B.4.a · 수문학,true,provided,actual-records,actual,19,18,1,0,0,18,true,true,19,,spatial-summary,archetype,panel-only,0,HydroSHEDS / HydroBASINS v1.c | MONRE via WEPA (2024) | MONRE via WEPA (2024) / VNMC,2024~2026,2024,0,데이터 제공,populated-and-released,PASS
B-026,유향(flow direction),B · 기후 환경,B.4.a · 수문학,true,provided,actual-records,actual,11,11,0,0,0,11,true,true,11,,spatial-summary,archetype,panel-only,0,HydroSHEDS v1 Flow Direction (DIR 15s),2022,2022,0,데이터 제공,populated-and-released,PASS
B-027,지하수 잠재량,B · 기후 환경,B.4.a · 수문학,true,provided,actual-records,actual,54,53,1,0,0,53,true,true,54,,spatial-summary,archetype,panel-only,0,FAO AQUASTAT | IGRAC GGIS / PCR-GLOBWB2 · WaterGAP / NASA GRACE-FO,2023~2026,2023,0,데이터 제공,populated-and-released,PASS
B-028,하천 유량,B · 기후 환경,B.4.a · 수문학,true,provided,actual-records,actual,16,15,1,0,0,15,true,true,16,,spatial-summary,archetype,panel-only,0,"FAO AQUASTAT | GloFAS (Copernicus EMS) / GRDC / HydroSHEDS | Le et al. (2014), HESS | MONRE (2022) | Mekong River Commission (2009) | Mekong River Commission (MRC)/VNMC · Le et al.(2014) · MONRE",2004~2026,2023,0,데이터 제공,populated-and-released,PASS
B-029,산림 유형별 면적,B · 기후 환경,B.4.b · 산림,true,provided,partial-records,partial,168,168,0,0,0,168,true,true,166,,spatial-summary,archetype,panel-only,0,"FAO FAOSTAT Land Cover (LC), CCI_LC | FAO FAOSTAT Land Cover (LC), MODIS | FAO FAOSTAT Land Cover (LC), WorldCover | FAO FAOSTAT Land Use (RL) | Global Forest Watch (UMD/WRI) | Greifswald Mire Centre — Global Peatland Map 2.0 (UNEP Global Peatlands Assessment 기반자료)",2001~2025,2025,0,일부 데이터 제공,partial-and-released,PASS
B-030,산림 이득,B · 기후 환경,B.4.b · 산림,true,provided,actual-records,actual,37,36,1,0,0,36,true,true,37,,spatial-summary,archetype,panel-only,0,FAO FAOSTAT Land Use (RL) | Global Forest Watch / UMD | Global Forest Watch / UMD (Potapov et al. 2022),2020~2025,2025,0,데이터 제공,populated-and-released,PASS
B-031,산림 총면적,B · 기후 환경,B.4.b · 산림,true,provided,actual-records,actual,208,208,0,0,0,208,true,true,208,,spatial-summary,archetype,choropleth,63,"Global Forest Watch (UMD/WRI) | Global Forest Watch / Hansen et al.(2013) | Global Forest Watch / Hansen et al.(2013), UMD",2000~2010,2010,0,데이터 제공,populated-and-released,PASS
B-032,수관 피복률,B · 기후 환경,B.4.b · 산림,true,provided,actual-records,actual,136,136,0,0,0,136,true,true,136,,spatial-summary,archetype,choropleth,63,Global Forest Watch (UMD/WRI) | Global Forest Watch (분자) / FAOSTAT Land Use (분모) | Global Forest Watch / Hansen et al.(2013),2010,2010,0,데이터 제공,populated-and-released,PASS
B-033,연간 산림손실,B · 기후 환경,B.4.b · 산림,true,provided,actual-records,actual,2142,2142,0,0,0,2142,true,true,2142,,spatial-summary,archetype,choropleth,63,"Global Forest Watch (UMD/WRI) | Global Forest Watch (UMD/WRI, Curtis et al. 2018 drivers) | Global Forest Watch / Curtis et al.(2018) drivers | Global Forest Watch / Hansen (UMD)",2025,2025,0,데이터 제공,populated-and-released,PASS
B-034,탄소 저장량,B · 기후 환경,B.4.b · 산림,true,provided,actual-records,actual,498,497,1,0,0,497,true,true,498,,spatial-summary,archetype,choropleth,63,Global Forest Watch | Global Forest Watch (Harris et al. 2021) | Global Forest Watch (UMD/WRI),2000~2025,2025,0,데이터 제공,populated-and-released,PASS
B-035,LULUCF 관련 면적 변화,B · 기후 환경,B.4.c · 토지이용,true,provided,actual-records,actual,1764,1763,1,0,0,1763,true,true,1764,,spatial-summary,archetype,country-aggregate,0,FAO FAOSTAT Land Use (RL) | FAOSTAT Land Use (RL),2024~2025,2025,0,데이터 제공,populated-and-released,PASS
B-036,토지이용 변화율,B · 기후 환경,B.4.c · 토지이용,true,provided,actual-records,actual,48,48,0,0,0,48,true,true,48,,spatial-summary,archetype,panel-only,0,"FAO FAOSTAT Land Cover (LC), CCI_LC | FAO FAOSTAT Land Cover (LC), MODIS | FAO FAOSTAT Land Use (RL)",2022~2024,2024,0,데이터 제공,populated-and-released,PASS
B-037,토지피복 구성,B · 기후 환경,B.4.c · 토지이용,true,provided,actual-records,actual,684,667,17,0,0,667,true,true,684,,spatial-summary,archetype,panel-only,0,"FAO FAOSTAT Land Cover (LC), CCI_LC | FAO FAOSTAT Land Cover (LC), CGLS | FAO FAOSTAT Land Cover (LC), MODIS | FAO FAOSTAT Land Cover (LC), WorldCover",2019~2024,2024,0,데이터 제공,populated-and-released,PASS
B-038,바이오매스 자원 가용량,B · 기후 환경,B.4.d · 에너지 자원량,true,provided,actual-records,actual,190,187,3,0,0,187,true,true,190,,spatial-summary,archetype,country-aggregate,0,"FAO — FAOSTAT Crops and livestock products (QCL), Live Animals / Stocks | FAOSTAT 임산물 생산량 기반 산출 / 현지조사 | FAOSTAT 작물 생산량 기반 잔재계수 산출 / 현지조사 | FAOSTAT 축종별 사육두수 기반 산출 | IRENA Renewable Capacity Statistics 2026 | IRENA Renewable Energy Statistics 2025 | U.S. EIA International Energy Statistics (Bulk File INTL.txt) | World Bank Group — What a Waste 3.0: Global Snapshot of Solid Waste Management Toward Circularity until 2050 (2026-03)",2015~2050,2050,0,데이터 제공,populated-and-released,PASS
B-039,수력 잠재량,B · 기후 환경,B.4.d · 에너지 자원량,true,provided,actual-records,actual,165,164,1,0,0,164,true,true,165,,spatial-summary,archetype,panel-only,0,Energy Institute Statistical Review of World Energy | Global Gross Hydropower Potential Dataset (Hoes et al. 2017) / Gernaat et al.(2017) | IHA / EVN | International Hydropower Association (IHA 2024) | International Hydropower Association (IHA) | International Hydropower Association (IHA) / EVN | U.S. EIA International Energy Statistics (Bulk File INTL.txt) | Vietnam Electricity (EVN) | World Bank / ESMAP (2017) | 베트남 총리 Decision 768/QĐ-TTg (2025) — 개정 PDP8,2017~2030,2030,0,데이터 제공,populated-and-released,PASS
B-040,지열 잠재량,B · 기후 환경,B.4.d · 에너지 자원량,true,provided,actual-records,actual,102,101,1,0,0,101,true,true,102,,spatial-summary,archetype,panel-only,0,"DGGV (2021) | IRENA Global Atlas (HDR Subsurface Thermal Profiles) | IRENA Global Atlas — Subsurface Thermal Profiles; Global Geothermal Power Plant Map; UNFC 유망지역 분류 | Institute of Energy (IoE, MOIT) 2013 | IoE (MOIT) / DGGV | U.S. EIA International Energy Statistics (Bulk File INTL.txt) | World Geothermal Congress 2005 | World Geothermal Congress 2005 / Nguyen (2010)",2005~2026,2026,0,데이터 제공,populated-and-released,PASS
B-041,태양광 자원,B · 기후 환경,B.4.d · 에너지 자원량,true,provided,actual-records,actual,50,50,0,0,0,50,true,true,50,,spatial-summary,archetype,panel-only,0,"Global Solar Atlas 2.0 | Global Solar Atlas 2.0 (World Bank/ESMAP, Solargis)",2018,2018,0,데이터 제공,populated-and-released,PASS
B-042,풍력 자원,B · 기후 환경,B.4.d · 에너지 자원량,true,provided,actual-records,actual,142,142,0,0,0,142,true,true,142,,spatial-summary,archetype,panel-only,0,Global Wind Atlas 3.x | Global Wind Atlas 3.x (DTU/World Bank ESMAP),2017,2017,0,데이터 제공,populated-and-released,PASS
B-043,화석연료 자원량,B · 기후 환경,B.4.d · 에너지 자원량,true,provided,actual-records,actual,274,273,1,0,0,273,true,true,274,,spatial-summary,archetype,country-aggregate,0,EI Statistical Review(매장량) / U.S. EIA(생산량) | Energy Institute Statistical Review of World Energy | U.S. EIA International Energy Statistics (Bulk File INTL.txt) | U.S. EIA International Energy Statistics / OPEC ASB / 베트남 PVN 연차보고서 | U.S. Energy Information Administration — International Energy Statistics (API bulk file INTL.txt),2000~2026,2025,0,데이터 제공,populated-and-released,PASS
B-044,핵심 광물 종류,B · 기후 환경,B.4.e · 광물 자원량,true,provided,actual-records,actual,26,24,2,0,0,24,true,true,26,,spatial-summary,archetype,country-aggregate,0,USGS Mineral Commodity Summaries 2026 | USGS Mineral Commodity Summaries 2026; USGS Minerals Yearbook Vietnam 2022 | 연구진 설정(발주처 협의 예정) | 현지조사(예정),2026,2026,0,데이터 제공,populated-and-released,PASS
B-045,광물자원 국제순위,B · 기후 환경,B.4.e · 광물 자원량,true,provided,actual-records,actual,46,46,0,0,0,46,true,true,46,,spatial-summary,archetype,country-aggregate,0,USGS Mineral Commodity Summaries 2026,2026,2026,0,데이터 제공,populated-and-released,PASS
B-046,광물 매장량,B · 기후 환경,B.4.e · 광물 자원량,true,provided,actual-records,actual,13,8,5,0,0,8,true,true,13,,spatial-summary,archetype,country-aggregate,0,USGS Mineral Commodity Summaries 2026,2026,2026,0,데이터 제공,populated-and-released,PASS
