route,surface,text,decision,replacement,reason
guide,P,국가 간 감축실적 이전과 국제 크레딧 메커니즘을 규정한 파리협정 조항입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,유엔 감독 아래 온실가스 감축실적을 발급·이전하는 파리협정의 국제 탄소시장 메커니즘입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,파리협정 제6조 4항 메커니즘에서 발행되는 감축실적 단위입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,파리협정 제6조 탄소시장·비시장 협력의 이행을 지원하는 국가·기관 파트너십입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,ASEAN과 호주·뉴질랜드가 맺은 다자 자유무역협정입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,우간다가 제출해 UNFCCC NMA 플랫폼에 등재된 비시장접근법의 명칭입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,ASEAN과 캐나다가 맺은 다자 자유무역협정입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,ASEAN과 중국이 맺은 다자 자유무역협정입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,아시아·태평양 지역의 개발사업과 정책을 지원하는 다자개발은행입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,"국가 바로 아래 행정구역 단계입니다. 베트남에서는 성(tỉnh)과 중앙직할시를 뜻하며, 기후 격자 통계는 이 경계로 집계됩니다.",KEEP,,states the data and its reading in reader-facing Korean
guide,P,GCF 사업을 제안·관리할 수 있도록 인증된 기관,KEEP,,states the data and its reading in reader-facing Korean
guide,P,ASEAN 회원국이 단일 시장과 생산기지를 지향해 구성한 경제공동체입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,프랑스의 공공 개발금융기관으로 개발협력 사업과 정책금융을 지원합니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,"농업과 산림, 기타 토지이용에서 발생하는 온실가스 배출·흡수를 함께 다루는 부문입니다.",KEEP,,states the data and its reading in reader-facing Korean
guide,P,ASEAN 회원국 사이의 물품 교역 조건을 정한 역내 협정입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,ASEAN과 홍콩이 맺은 다자 자유무역협정입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,사람의 인지·판단 기능을 기계가 수행하도록 하는 기술 분야입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,ASEAN과 인도가 맺은 다자 자유무역협정입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,ASEAN과 일본이 맺은 포괄적 경제동반자 협정입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,ASEAN과 한국이 맺은 다자 자유무역협정입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,서로 다른 소프트웨어가 정해진 방식으로 데이터와 기능을 주고받는 연결 규칙입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,국가별 수자원과 농업용수 통계를 제공하는 유엔식량농업기구의 국제 정보시스템입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,"2014년 발간된 IPCC 제5차 평가보고서로, 지구온난화지수 값의 근거로 인용됩니다.",KEEP,,states the data and its reading in reader-facing Korean
guide,P,기후변화의 과학적 근거와 영향·적응·감축 지식을 종합한 기후변화에 관한 정부간 협의체의 평가보고서입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,산림 부문 감축성과(REDD+)의 크레딧 발행 기준(TREES)을 운영하는 독립 표준 기구입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,국제감축·시장 및 비시장 협력을 다루는 조항,KEEP,,states the data and its reading in reader-facing Korean
guide,P,국제농업개발기금(IFAD)이 운영하는 소농 기후적응 지원 프로그램입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,동남아시아 국가들의 경제·사회·안보 협력을 위한 지역 협력체입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,투자기관이 운용하는 총 자산규모,KEEP,,states the data and its reading in reader-facing Korean
guide,P,최종 소비자가 아니라 기업과 기업 사이에 이루어지는 거래를 뜻합니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,추가 정책이나 조치가 없다고 가정한 기준 시나리오입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,전력을 배터리에 저장했다가 필요한 시점에 공급하는 설비입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,베트남의 기업·인프라·개발금융을 제공하는 상업은행입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,산림·토지이용 기반 감축과 농촌 저탄소 개발 지원,KEEP,,states the data and its reading in reader-facing Korean
guide,P,민간이 건설해 임대 운영한 뒤 소유권을 국가에 넘기는 민관협력 계약 방식입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,민간이 시설을 건설해 소유하고 직접 운영하는 민관협력 계약 방식입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,민간이 시설을 건설·운영한 뒤 약정 기간 후 공공에 이전하는 사업방식입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,전용 차로와 우선 신호로 버스를 지하철처럼 운영하는 대중교통 방식입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,민간이 시설을 건설한 뒤 소유권을 국가에 넘기는 민관협력 계약 방식입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,민간이 건설해 소유권을 넘기고 임대료를 받아 회수하는 민관협력 계약 방식입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,민간이 건설 후 소유권을 넘기고 일정 기간 운영권을 갖는 민관협력 계약 방식입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,파리협정 투명성체계에 따라 2년마다 제출하는 국가 기후행동 보고서입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,파리협정 투명성 체계에 따라 각국이 제출하는 첫 격년 이행보고서입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,개도국이 온실가스 배출과 기후행동 현황을 2년 주기로 갱신해 제출하던 보고서입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,감축실적을 국가 간에 이전할 때 이중계상을 막기 위해 배출량 장부를 맞추는 조정입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,시작값과 종료값 사이의 연평균 성장속도를 복리 기준으로 환산한 값입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,설비 구축·건설에 필요한 초기 투자비,KEEP,,states the data and its reading in reader-facing Korean
guide,P,파리협정 제6조의 국제 이전 감축실적을 기록하고 보고하는 유엔기후변화협약 플랫폼입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,수입품의 내재배출량에 탄소비용을 반영하는 국경 조정제도입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,예산사업이 기후변화 대응에 기여하는지 분류·표시해 관련 지출을 추적하는 제도입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,이미 일어난 기후변화의 영향에 대비해 피해를 줄이는 정책과 조치입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,메탄 등 단기 체류 기후오염물질 감축을 추진하는 국제 연합체입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,저탄소·기후회복력 정책과 파리협정 이행을 지원하는 유엔환경계획 전문센터입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,기후와 개발 목표을 함께 달성하기 위한 우선과제를 분석한 세계은행 국가보고서입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,가스터빈과 증기터빈을 결합해 연료 이용효율을 높인 발전방식입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,유럽우주국 기후변화 이니셔티브가 위성관측으로 구축한 토지피복 자료입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,기후변화가 문화·자연유산에 미치는 영향을 다루는 국제 협력 이니셔티브입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,세계은행이 국가별 기후관측과 미래전망 데이터를 제공하는 포털입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,각국의 기후 관련 법령과 정책 문서를 수집·공개하는 데이터베이스입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,배출원의 이산화탄소를 포집해 장기간 저장하는 기술 체계입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,포집한 이산화탄소를 활용하거나 장기간 저장하는 기술 체계입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,강수가 기준 이하인 날이 연속되는 최대 기간,KEEP,,states the data and its reading in reader-facing Korean
guide,P,교토의정서에 따라 개도국 감축사업의 실적을 탄소배출권으로 인정한 제도입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,"일본이 제출한 파리협정 6.8조 비시장접근법으로, 아세안 역내 청정에너지 협력 모델입니다.",KEEP,,states the data and its reading in reader-facing Korean
guide,P,에너지전환과 녹색성장 정책을 연구하는 베트남 연구기관입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,국가·산업·금융시장별 거시경제와 기업 통계를 제공하는 상업 데이터 서비스입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,배출구에서 오염물질 농도를 상시 실측하는 장치입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,상품 교역뿐 아니라 서비스·투자·협력까지 함께 다루는 경제동반자 협정 형식입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,"백열등을 대체하는 소형 형광 조명으로, 조명 효율 개선 사업에 쓰입니다.",KEEP,,states the data and its reading in reader-facing Korean
guide,P,식량안보와 지속가능한 농업을 연구하는 국제 연구기관 연합입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,위성관측을 이용해 토지피복·식생·물순환 등 전지구 육상 정보를 제공하는 서비스입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,이산화탄소보다 온난화 영향이 큰 주요 온실가스입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,전기와 열을 한 설비에서 함께 생산해 연료 이용률을 높이는 방식입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,개발은행을 통해 청정기술·기후회복력 투자를 지원,KEEP,,states the data and its reading in reader-facing Korean
guide,P,법인의 소득에 부과하는 세금입니다. 베트남 투자법령의 우대세율·면제감면은 이 세목을 기준으로 정합니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,기후행동 포털(NAZCA)에 등재된 미생물 생명공학 협력 플랫폼입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,다수 기후모델의 과거 재현과 미래 전망을 비교하는 국제 기후모델 프로젝트입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,P,화석연료 연소와 토지이용 변화 등에서 배출되는 대표적인 온실가스입니다.,KEEP,,states the data and its reading in reader-facing Korean
