문제ID,대상,문제,재현순서,실제결과,기대결과,근거,배포미반영여부,중요도,캡처,parentFindingId,원인그룹,정정이력
LQA-011,B-008,단위가 다른 변수와 저신뢰도 계열이 같은 목록에 섞여 있어 구분 없이 선택된다,1) B-008 항목 셀렉트 펼침 2) 목록 하단까지 확인,"같은 목록 안에 단위 m인 '상대해수면', 단위 mm/yr인 '상대해수면 상승속도', 그리고 신뢰도가 다른 '상대해수면(저신뢰도)'가 연속으로 나열된다. 사용자가 저신뢰도 전망을 고른 사실이나 단위가 m에서 mm/yr로 바뀐 사실을 별도 표시로 알기 어렵다",변수와 신뢰도는 목록 문자열이 아니라 별도 선택 또는 구분 표시로 제시해야 한다,저신뢰도 계열은 SSP1-2.6과 SSP5-8.5 2개 시나리오만 존재하여 주 계열(5개 시나리오)과 범위가 다르다,LIVE_DEFECT_NOT_YET_FIXED,P1,screenshots/b008-flat-selector-kpi-negative-958x918.jpg,,,
LQA-012,B-008,기본 선택이 최저배출·저분위 조합이라 '해수면 상승 전망' 화면이 음수값으로 열린다,1) B-008 상세 진입(파라미터 없이) 2) KPI와 차트 확인,기본 measure가 목록 첫 항목인 'Da Nang SSP1-1.9 17퍼센타일'로 잡히고 KPI가 '-0.438 m · 2100'으로 표시된다. 차트도 2020년 약 -0.04 m에서 2100년 약 -0.47 m로 내려가는 선 하나만 보인다. 상승 전망 화면의 첫인상이 하강이다,"기본값은 중앙값과 중간 시나리오(예: SSP2-4.5 중앙값)로 두거나, 시나리오 범위를 함께 보여주는 상태로 열려야 한다",목록 정렬상 첫 항목이 그대로 기본값이 된 결과다. 미병합 브랜치의 KPI 생략 수정(singleSubjectV136_4)은 연도축 단일 대상에는 적용되지 않아 이 건을 해결하지 않는다,LIVE_DEFECT_NOT_YET_FIXED,P1,"screenshots/b008-flat-selector-kpi-negative-958x918.jpg, screenshots/b008-trend-no-zero-baseline-958x918.jpg",LQA-003,G5 첫 항목이 기본·대표값,
LQA-013,B-008,부호 있는 값의 추세 차트에 0 기준선이 없다,1) B-008 기본 상태 2) '2020~2100년 추세' 차트 y축 확인,"y축이 -0.0395 ~ -0.4675 로만 구성되고 0 기준선이 없다. 값이 모두 음수인데 0이 화면에 없어 해수면이 기준 대비 내려가는 중인지, 얼마나 내려가는지 크기 감각을 잡을 수 없다",부호가 있는 값에는 0 기준선을 표시하고 축 범위에 0을 포함해야 한다,단위 m의 상대해수면 변화량이며 음수는 기준시점 대비 하강을 뜻한다,LIVE_DEFECT_NOT_YET_FIXED,P1,screenshots/b008-trend-no-zero-baseline-958x918.jpg,,G3 부호 있는 값의 0 기준선·방향,
LQA-014,B-008,범례 문구가 표시기간·확대 버튼군에 가려 잘린다,1) B-008 기본 상태 2) 차트 상단 범례 확인 (콘텐츠 폭 958px),범례가 '상대해수면 Da Nang(중부 다낭) SSP1-1.9 (공통사회경제경로 1-1' 에서 잘리고 그 자리에 '표시기간 전체 / 축소 / 확대 / 전체' 버튼군이 겹쳐 있다. 약어 풀이 '(공통사회경제경로 1-1.9)'를 끝까지 읽을 수 없다,범례와 조작 버튼군이 겹치지 않도록 배치하거나 범례를 줄바꿈 처리해야 한다,958x918 뷰포트에서 재현. 더 넓은 뷰포트는 미검수(PENDING),LIVE_DEFECT_NOT_YET_FIXED,P2,screenshots/b008-legend-overlap-zoom.png,,,
LQA-015,B-008,분위수 정렬이 숫자순이 아니라 문자열순이다,1) B-008 항목 셀렉트 펼침 2) 한 지점·한 시나리오 안의 분위수 순서 확인,한 조합 안에서 '17퍼센타일 → 5퍼센타일 → 83퍼센타일 → 95퍼센타일 → 중앙값' 순으로 나열된다. 5퍼센타일이 17퍼센타일 뒤에 오고 중앙값이 95퍼센타일 뒤에 온다,5 → 17 → 중앙값(50) → 83 → 95 의 분포 순서로 정렬해야 목록에서 구간을 읽을 수 있다,모든 지점·시나리오 조합에서 동일하게 재현,LIVE_DEFECT_NOT_YET_FIXED,P2,screenshots/b008-flat-selector-kpi-negative-958x918.jpg,,,
LQA-016,B-008,2100년까지의 전망을 관측기간으로 표기한다(LQA-004와 동일 패턴),1) B-008 상세 진입 2) '데이터 분석' 헤더 우측 메타 확인,'베트남 · 지표 200종 · 관측기간 2020~2100년'으로 표시된다. 전 구간이 NASA SSP 전망이며 관측이 아니다. 차트 y축 제목도 '측정값(m)'이다,전망 자료는 전망기간으로 표기하고 축 제목도 측정값이 아닌 전망값으로 해야 한다,같은 화면의 '지표 읽는 법'은 '시나리오는 예측이 아니라 서로 다른 미래 경로를 가정한 결과입니다'로 올바르게 안내하고 있어 헤더 표기와 상충한다,LIVE_DEFECT_NOT_YET_FIXED,P1,"screenshots/b008-default-top-958x918.jpg, screenshots/b008-trend-no-zero-baseline-958x918.jpg",LQA-004,G2 전망을 관측으로 표기,
LQA-017,B-034,음수와 양수 막대가 같은 방향·같은 색으로 절대값 길이만큼 그려져 흡수와 배출이 구분되지 않는다,1) https://nigtldcmap.vercel.app/?view=data&country=VNM&element=B-034#element-detail 접속 2) '항목별 값' 비교 차트까지 스크롤 3) 부호가 다른 행의 막대 길이·방향·색 비교,"모든 막대가 같은 좌측 기준에서 오른쪽으로만 뻗고 색도 동일하며 길이는 절대값에 비례한다. 예를 들어 2,923,480과 -2,935,180의 막대 길이가 거의 같고(약 253px 대 250px) 방향·색이 동일하다. 1,663,636(약 143px)과 -1,539,116(약 130px)도 마찬가지다. 0 기준선이 없다. 산림탄소 순플럭스에서 음수는 흡수, 양수는 배출을 뜻하는데 차트만 보면 정반대 의미의 두 지역이 동일하게 보인다","0 기준선을 두고 음수는 왼쪽, 양수는 오른쪽으로 그리거나 색으로 흡수·배출을 구분해야 한다","원천 public/data/vietnam/v2/downloads/b-034.csv 의 B-034_forest_carbon_net_flux 행 note에 ""음수 = 순흡수원(sink)""이 명시되어 있다. 따라서 부호 의미는 추정이 아니라 원천 정의다. 단위는 Mg CO2e/yr. 화면 차트에는 0 기준선이 없고 범례도 없으며 막대 색은 단일색이다. 음수를 일반적으로 좋은 값으로 해석하지 않으며, 이 지표에 한해 음수=흡수 양수=배출이라는 원천 정의를 근거로 한다.",LIVE_DEFECT_NOT_YET_FIXED,P0,screenshots/b034-sign-and-identical-labels-958x918.jpg,LQA-013,G3 부호 있는 값의 0 기준선·방향,2026-09-08 보강: 부호 의미를 원천 note로 확인해 근거를 교체. 화면에는 이 정의가 어디에도 표시되지 않는다.
LQA-018,B-034,비교 차트의 성 단위 행이 모두 '성(省) 단위'라는 같은 이름으로 표시되어 어느 지역인지 알 수 없다,1) B-034 기본 상태 2) '항목별 값' 비교 차트 행 이름 확인,60개가 넘는 행의 이름이 전부 '성(省) 단위'로 동일하다. 값만 다르고 지역명이 없어 어떤 성이 흡수원이고 어떤 성이 배출원인지 식별할 수 없다. 지도에서 보기로 넘어가지 않는 한 이 화면만으로는 지역을 특정할 수 없다,각 행에 해당 성(省)의 실제 이름을 표시해야 한다,같은 화면 KPI와 제목은 '지역별 분포와 지역 간 차이를 확인할 수 있습니다'라고 안내하나 지역을 구분할 수단이 없다,LIVE_DEFECT_NOT_YET_FIXED,P0,screenshots/b034-sign-and-identical-labels-958x918.jpg,,,
LQA-019,B-034,전국 임계값별 합계와 성 단위 값이 같은 비교 차트에 섞여 있다,1) B-034 기본 상태 2) 비교 차트 상단 3개 행과 이후 행 비교,"상단 3개 행이 '임계값별'(-4,361,423 / 862,269 / 4,570,972)이고 그 아래로 '성(省) 단위' 행이 이어진다. 임계값별 값은 임계값 정의가 다른 전국 집계로 보이며 개별 성 값과 같은 축에서 길이로 비교된다. 차트에서 가장 긴 막대가 집계행이라 시각적 순위가 집계에 지배된다",집계(전국 임계값별)와 부분(성 단위)을 같은 비교 차트에 넣지 말고 분리하거나 명확히 구분해야 한다,"-4,361,423은 상단 KPI '산림탄소 순플럭스'와 같은 값으로 전국 대표값으로 쓰이고 있다",LIVE_DEFECT_NOT_YET_FIXED,P1,screenshots/b034-sign-and-identical-labels-958x918.jpg,,,
LQA-020,B-034,항목 선택지의 단위 표기와 차트 단위 표기가 다르다,1) B-034 기본 상태 2) 항목 셀렉트 표시값과 차트 '단위' 표기 비교,"항목 셀렉트는 '산림탄소 순플럭스 · Mg CO2'로 표시되는데 차트와 값은 'Mg CO2e/yr'이다. CO2와 CO2e, 연간(/yr) 여부가 서로 다르다",같은 측정의 단위 표기를 한 형태로 통일해야 한다,두 표기 모두 같은 화면 안에서 동시에 보인다,LIVE_DEFECT_NOT_YET_FIXED,P2,"screenshots/b034-default-top-958x918.jpg, screenshots/b034-sign-and-identical-labels-958x918.jpg",,,
LQA-021,D-022,분야 필터를 적용해도 요약·연도별·분야별·목록 어느 것도 바뀌지 않는다,"1) https://nigtldcmap.vercel.app/?view=data&country=VNM&element=D-022#element-detail 접속 2) 분야 셀렉트 클릭 후 Down 1회, Enter 3) URL과 요약·차트·목록 확인","URL이 dim.dacSectorCode=14022로 바뀌었는데도 총 사업 수 15건, 확인 금액 합계 18.76억 USD·15건, 확인 기간 2009-2025가 그대로다. 연도별 사업 수 합계도 1+3+1+1+2+3+1+2+1=15건으로 동일하다. 단일 분야를 선택했는데 '주요 분야·기금 구성'은 여전히 에너지 기타 4건·공공행정 기타 2건·산림 개발 2건·상하수도 기타 1건·수력발전 1건·수상운송 항만 1건·위생(대규모) 1건·중앙정부 행정 1건 등 8개 분야를 나열한다. 개별 목록도 15건 그대로다","분야를 선택하면 요약 금액·건수, 연도별 분포, 분야 구성, 개별 목록이 모두 해당 분야로 좁혀져야 한다",단일 분야 필터 적용 상태에서 분야 구성 차트가 8개 분야를 보여주는 것 자체가 필터 미적용의 직접 증거다,LIVE_DEFECT_NOT_YET_FIXED,P0,"screenshots/d022-sector-14022-code-and-totals-958x918.jpg, screenshots/d022-sector-14022-breakdown-unchanged-958x918.jpg",LQA-005,G4 필터 적용범위 불일치,
LQA-022,D-022,분야 필터도 표시명이 아니라 원천 숫자코드로 표시된다(LQA-001과 동일 결함의 다른 화면·다른 차원),1) D-022에서 분야 셀렉트 선택 2) 셀렉트 표시값 확인,분야 셀렉트가 '14022'로 표시된다. URL은 dim.dacSectorCode=14022. 14022는 DAC 분야코드이며 사용자에게 의미가 전달되지 않는다,선택한 분야의 한글 표시명을 표시해야 한다,"A-017의 기술 차원(dim.technology='3','3,24')과 같은 양상이 D-022의 분야 차원에서도 재현되므로 특정 화면 문제가 아니라 차원 선택기 공통 문제다",LIVE_DEFECT_NOT_YET_FIXED,P1,screenshots/d022-sector-14022-code-and-totals-958x918.jpg,LQA-001,G1 원천코드 노출,
LQA-023,D-022,상단 필터와 개별 목록 자체 필터가 서로 다른 두 체계로 존재한다,1) D-022에서 상단 분야 필터를 14022로 설정 2) 하단 '사업·재원 찾아보기'의 연도·분야·기금 셀렉트 확인,상단 필터가 적용된 상태에서도 하단 목록의 '연도'와 '분야·기금' 셀렉트는 모두 '전체'로 남아 있고 서로 연동되지 않는다. 사용자는 같은 화면에서 두 개의 독립 필터를 만나게 된다,"한 화면의 필터 체계를 하나로 통합하거나, 적용 범위를 각각 명시해야 한다",상단 필터 변경 시 하단 셀렉트 상태와 목록 건수가 모두 불변,LIVE_DEFECT_NOT_YET_FIXED,P1,screenshots/d022-sector-14022-breakdown-unchanged-958x918.jpg,LQA-005,G4 필터 적용범위 불일치,
LQA-024,D-022,상단 대표 KPI가 약정액임을 밝히지 않고 금액만 표시한다,1) D-022 기본 상태 2) 상단 KPI 카드와 아래 핵심 수치 비교,"상단 KPI가 'MDB/DFI/PPP 투자 프로젝트 18.76억 USD · 2026'으로만 표시되고, 바로 아래 핵심 수치에는 '투자 약정액 합계 18.76억'과 '투자 집행액 합계 11.8억'이 따로 있다. 상단 값이 약정액인지 집행액인지 카드만으로는 알 수 없다",약정액·집행액을 구분해 표시하거나 모호한 단일 KPI를 생략해야 한다,미병합 커밋 574ef2a가 '모호한 상단 KPI 제거'로 동일 증상을 이미 수정했고 브랜치 기록 reports/v136/screen-review-record-v136-4.csv D-022 행에 같은 내용이 기술되어 있다,ALREADY_FIXED_UNDEPLOYED,P1,screenshots/d022-default-top-958x918.jpg,LQA-003,G5 첫 항목이 기본·대표값,
LQA-025,D-022,분야 필터를 적용하면 연도 선택기가 사라진다,1) D-022 기본 상태에서 필터 행 확인(항목·분류·분야·세부 분류·연도) 2) 분야를 14022로 변경 3) 필터 행 재확인,기본 상태에는 연도 셀렉트(2026)가 있으나 분야 선택 후에는 연도 셀렉트가 사라지고 URL에서도 year=2026이 제거된다. 사용자가 방금 쓰던 선택 수단이 예고 없이 없어진다,필터 조합에 따라 선택기가 사라지는 경우 비활성 상태로 남기거나 이유를 알려야 한다,선택 전후 필터 행 캡처로 확인,LIVE_OBSERVATION_NEEDS_VERIFICATION,P2,"screenshots/d022-default-top-958x918.jpg, screenshots/d022-sector-14022-code-and-totals-958x918.jpg",,,
LQA-026,D-025,설비용량 필터를 적용해도 요약·연도별·분야별 집계가 전혀 바뀌지 않는다,1) D-025 상세 진입 2) 설비용량 선택창을 좌표 클릭으로 펼치고 399 입력 후 Enter(=399 KM 선택) 3) 포트폴리오 핵심현황과 주요 분야·기금 구성 기록 4) 같은 화면을 dim.capacity 없이 다시 열어 동일 항목 비교,"399 KM 적용 상태와 미적용 상태가 완전히 동일하다. 두 상태 모두 총 사업 수 132건, 확인 금액 합계 289.67억 USD·125건, 확인 기간 2001-2024, 주요 분야·기금 구성 Energy/Electricity 131건 + Energy/Natural Gas 1건. 원천에서 capacity가 399 KM인 사업은 Nam Con Son Gas Pipeline 1건뿐인데도 132건 전체가 그대로 집계된다",설비용량을 선택하면 해당 값을 가진 사업만 남아 건수·금액·분야 구성이 그에 맞게 좁혀져야 한다,"원천 public/data/vietnam/v2/downloads/d-025.csv 20행 attributes_json의 capacity가 ""399 KM""이며 해당 사업은 Nam Con Son Gas Pipeline(총 투자액 1300 백만 USD, 민간지분율 49%, 섹터 Energy/Natural Gas/Natural gas transmission) 1건이다. 필터 적용 후에도 Energy/Electricity 131건이 남는 것이 미적용의 직접 증거",LIVE_DEFECT_NOT_YET_FIXED,P0,"screenshots/d025-capacity-399km-summary-958x862.jpg, screenshots/d025-capacity-399km-breakdown-958x862.jpg, screenshots/d025-unfiltered-baseline-identical-958x862.jpg",LQA-021,G4 필터 적용범위 불일치,"D-022 분야 필터와 동일 증상을 다른 화면·다른 차원에서 재현. 최초에 get_page_text가 카드 1건(Pha Lai Thermal)만 반환해 ""다른 사업이 조회된다""고 볼 뻔했으나, 전체 렌더링을 확인한 결과 잘못 조회된 것이 아니라 필터가 아예 적용되지 않아 목록 첫 사업이 보인 것이었다. 오조회로 기록하지 않는다"
LQA-027,D-025,길이(KM)와 단위 미기재 값이 설비용량 이름 아래 MW와 하나의 수치 순서로 나열된다,1) D-025 상세 진입 2) 설비용량 선택창을 펼쳐 선택지 순서를 확인,"선택창 이름이 설비용량이고 선택지가 ... 350 MW, 388 MW, 399 KM, 450 MW ... 순으로 정렬된다. 길이 단위 399 KM이 388 MW와 450 MW 사이에 놓여 용량 크기처럼 읽힌다. 같은 목록에 214 Not Available(단위 없음)과 Not Available MW(값 없음)도 함께 있다","서로 다른 물리량은 같은 축으로 정렬하지 않아야 하고, 이름도 용량이 아니라 사업 규모처럼 물리량을 단정하지 않는 말이어야 한다. 값 없음과 단위 없음은 구분해 표시해야 한다","원천 d-025.csv의 capacity 필드가 사업별로 서로 다른 물리량을 그대로 담고 있다(발전사업=MW, 가스관=KM). 원천에 이질적인 값이 있는 것 자체는 자료 특성이며, 이를 설비용량이라는 이름과 단일 수치 정렬로 제시해 용량 비교처럼 보이게 만든 것이 화면 문제다. 같은 화면의 기술별 총 투자액에는 발전설비 아님(가스관 등) 항목이 이미 있어 원천이 구분 정보를 갖고 있음이 확인된다",LIVE_DEFECT_NOT_YET_FIXED,P1,screenshots/d025-default-filter-labels-958x918.jpg,,,"표시명 변경(설비용량→사업 규모)과 결측 표기는 미병합 커밋 574ef2a에 이미 포함되어 ALREADY_FIXED_UNDEPLOYED이나, 이질 단위를 한 축으로 정렬하는 문제는 브랜치 기록에 없어 미해결로 분류한다"
LQA-028,D-025,기술 선택창이 다시 원천 숫자코드만 표시한다,1) D-025 상세 진입 2) 기술 선택창 선택지 확인,"선택지가 전체 / 1 / 1,3 / 1,3,5,8,15,18,24,32 / 3 / 5 / 8 / 15 로 모두 숫자코드다. 특히 1,3,5,8,15,18,24,32는 한 선택지 안에 8개 코드가 나열되어 무엇을 고르는지 알 수 없다",기술 분류의 한글 표시명을 사용해야 한다,A-017 기술 선택창(dim.technology)과 동일한 양상이 D-025에서도 재현된다. 같은 화면의 세부 분류 선택창은 태양광·풍력 등 한글명을 정상 사용하므로 표시명 자체는 존재한다,LIVE_DEFECT_NOT_YET_FIXED,P1,screenshots/d025-default-filter-labels-958x918.jpg,LQA-001,G1 원천코드 노출,
LQA-029,D-025,세부 분류 선택창에 상태·기술·집계정의가 한 목록으로 섞여 있다,1) D-025 상세 진입 2) 세부 분류 선택창 선택지 확인,"한 목록에 상태값(Active, Cancelled), 기술값(태양광, 풍력, 석탄(비재생), 대수력(>50MW) 등), 그리고 집계 정의(베트남 PPI 등록 프로젝트 총 건수, 전 프로젝트 총 투자액 단순합, 총 투자액 x 민간지분율)가 함께 들어 있다. 성격이 다른 세 종류를 같은 선택지로 고르게 되어 있다",분류 대상(기술·상태)과 집계 정의는 서로 다른 선택 수단으로 분리해야 한다,같은 화면에 상태 전용 선택창이 따로 있어 Active/Cancelled가 두 선택창에 중복 등장한다,LIVE_DEFECT_NOT_YET_FIXED,P1,screenshots/d025-default-filter-labels-958x918.jpg,,,
LQA-030,D-025,한 화면에 7개 선택창이 있고 일부는 선택지가 중복된다,1) D-025 상세 진입 2) 필터 영역의 선택창 수와 각 선택지 확인,"항목 / 설비용량 / 분류 / 세부 분류 / 상태 / 기술 / 연도 7개 선택창이 두 줄로 놓여 있고, 상태 선택창의 Active·Cancelled가 세부 분류 선택창에도 그대로 들어 있다. 연도 선택창은 선택지가 2024 하나뿐이다",중복 선택지를 없애고 선택지가 하나뿐인 선택창은 고정 표기로 바꾸는 것이 읽기 쉽다,선택창 7개와 각 선택지를 읽기 트리로 확인,LIVE_OBSERVATION_NEEDS_VERIFICATION,P2,screenshots/d025-default-filter-labels-958x918.jpg,,,
